Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2016-04-28,448.5,447.0,450.1,433.9,81.94,459333.0,178665000000.0,897504.9926,484652696.0,22205.63551063383,1199003.65,537878.0,4.195310967,7.33,,,0.00673,1266.4,17.588,4931.0,2075.81,17830.76,16666.05
2016-04-29,455.0,448.5,456.3,445.2,44.85,513848.0,178659000000.0,809812.6899,511801620.0,22567.706481600057,1403229.58,638291.0,3.292648414,7.52,,,0.00686,1290.5,17.819,5033.0,2065.3,17773.64,16666.05
2016-04-30,448.5,455.0,456.9,446.6,35.31,442245.0,178659000000.0,753012.2123,439759132.0,18460.79370098132,1296655.182,536613.0,3.246284935,8.87,,,0.00688,1290.5,17.819,5033.0,2065.3,17773.64,16666.05
2016-05-01,452.2,448.5,454.2,447.5,21.75,424418.0,178659000000.0,619272.5677,383948992.0,15240.276438601248,1376585.981,495613.0,3.362175226,8.75,,,0.00658,1290.5,17.819,5033.0,2065.3,17773.64,16666.05
2016-05-02,444.2,452.2,453.9,440.2,73.85,480773.0,178659000000.0,746709.758,468933728.0,20108.16989496529,1394348.38,519738.0,4.150962119,10.0,,,0.00669,1295.8,17.682,5033.0,2081.43,17891.16,16147.38
2016-05-03,450.3,444.2,451.5,441.5,49.75,461956.0,178659000000.0,769662.6026,464876212.0,20046.645644212236,1341061.181,486384.0,4.151960816,9.34,,,0.00646,1291.8,17.499,4908.0,2063.37,17750.91,16147.38
2016-05-04,445.8,450.3,450.9,444.2,39.44,510639.0,178659000000.0,720063.9222,481002700.0,21582.484633898814,1483160.379,536757.0,3.840749885,9.46,,,0.00626,1274.4,17.301,4843.0,2051.12,17651.26,16147.38
2016-05-05,448.1,445.8,449.2,444.4,41.89,455031.0,178659000000.0,701488.5161,434922880.0,19845.10168207734,1376585.981,483580.0,4.049425332,9.79,,,0.00612,1272.3,17.327,4769.0,2050.63,17660.71,16147.38
2016-05-06,459.6,448.1,461.5,445.7,68.43,465712.0,178659000000.0,699121.2531,453030572.0,21026.06051994498,1438754.38,504157.0,4.261992685,9.35,,,0.0063,1294.0,17.527,4787.0,2057.14,17740.63,16106.72
2016-05-07,458.5,459.6,460.6,454.6,30.97,411559.0,178659000000.0,634775.46,380865276.0,16834.47867863831,1332179.981,423070.0,3.842490714,9.35,,,0.00634,1294.0,17.527,4787.0,2057.14,17740.63,16106.72
2016-05-08,457.9,458.5,460.2,454.9,27.6,435990.0,178659000000.0,568348.1131,381929932.0,15744.050232927331,1492041.579,457838.0,3.158981013,9.5,,,0.0063,1294.0,17.527,4787.0,2057.14,17740.63,16106.72
2016-05-09,460.4,457.9,464.2,455.4,48.42,489806.0,178659000000.0,647232.9415,442707332.0,19035.669270609294,1518685.179,527408.0,3.370036614,9.32,,,0.0064,1266.6,17.089,4683.0,2058.69,17705.91,16216.03
